Date,Close
2020-01-31,77.37750244140625
2020-02-03,77.16500091552734
2020-02-04,79.7125015258789
2020-02-05,80.36250305175781
2020-02-06,81.30249786376953
2020-02-07,80.00749969482422
2020-02-10,80.38749694824219
2020-02-11,79.90249633789062
2020-02-12,81.80000305175781
2020-02-13,81.21749877929688
2020-02-14,81.23750305175781
2020-02-18,79.75
2020-02-19,80.90499877929688
2020-02-20,80.07499694824219
2020-02-21,78.26249694824219
2020-02-24,74.54499816894531
2020-02-25,72.0199966430664
2020-02-26,73.1624984741211
2020-02-27,68.37999725341797
2020-02-28,68.33999633789062
2020-03-02,74.70249938964844
2020-03-03,72.33000183105469
2020-03-04,75.68499755859375
2020-03-05,73.2300033569336
2020-03-06,72.25749969482422
2020-03-09,66.5425033569336
2020-03-10,71.33499908447266
2020-03-11,68.85749816894531
2020-03-12,62.057498931884766
2020-03-13,69.49250030517578
2020-03-16,60.5525016784668
2020-03-17,63.21500015258789
2020-03-18,61.66749954223633
2020-03-19,61.19499969482422
